Resort Name,Nearest City,State/Province,Peak Elevation (ft),Base Elevation (ft),Vertical Drop (ft),Skiable Area (acres),Total Trails,Total Lifts,Average Annual Snowfall (inches)
Granite Peak Ski Area,Wausau,Wisconsin,1950,1250,700,220,75.0,7.0,75
Keyes Peak Ski Hill,Florence,Wisconsin,1480,1250,230,,5.0,2.0,60
Little Switzerland Ski Area,Slinger,Wisconsin,1269,1069,200,50,18.0,8.0,45
Mont Du Lac Resort,Superior,Wisconsin,920,640,270,10,11.0,2.0,55
Grand Geneva Resort and Spa Archived 2019-12-11 at the Wayback Machine,Lake Geneva,Wisconsin,1000,789,211,30,20.0,5.0,25
Mount La Cross,La Crosse,Wisconsin,1010,594,516,100,19.0,4.0,40
Nordic Mountain,Wild Rose,Wisconsin,1137,872,265,60,18.0,7.0,80
Sunburst Winter Sports Park,West Bend,Wisconsin,1100,866,214,40,12.0,9.0,50
Trollhaugen,Dresser,Wisconsin,1200,920,280,86,24.0,10.0,50
Tyrol Basin,Mount Horeb,Wisconsin,1130,870,260,30,16.0,6.0,41
Whitecap Mountains Resort,Upson,Wisconsin,1759,1449,310,208,43.0,5.0,200
Wilmot Mountain Ski Resort,Wilmot,Wisconsin,960,770,190,120,23.0,11.0,48
