Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Average annual snowfall (in),Date statistics updated
Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34.0,4.0,350,"September 28, 2019"
Hilltop,Anchorage,Alaska,780,486,294,30,13.0,3.0,69,"September 28, 2019"
Arctic Valley,Anchorage,Alaska,4000,2500,1500,320,24.0,3.0,250,"September 28, 2019"
Mount Aurora Skiland,Fairbanks,Alaska,2435,1408,1027,530,46.0,2.0,,"September 28, 2019"
White Pine,Pinedale,Wyoming,9500,8450,1050,350,27.0,2.0,150,"September 28, 2019[56]"
Snowy Range,Centennial,Wyoming,9663,8798,865,250,27.0,5.0,245,"September 28, 2019[57]"
Snow King,Jackson,Wyoming,7808,6237,1571,400,32.0,5.0,175,"September 28, 2019[58]"
Pine Creek,Cokeville,Wyoming,8200,6875,1325,370,30.0,2.0,150,"September 28, 2019[59]"
Hogadon,Casper,Wyoming,8000,7370,630,60,27.0,2.0,140,"September 28, 2019[60]"
Meadowlark Ski Lodge,Ten Sleep,Wyoming,9500,8500,1000,300,14.0,3.0,,"September 28, 2019[61]"
Sleeping Giant,Cody,Wyoming,7428,6619,810,184,49.0,3.0,310,"September 28, 2019[62]"
Elko Snobowl,Elko,Nevada,6988,6338,650,60,10.0,2.0,24,"September 28, 2019[63]"
Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30.0,6.0,225,"September 28, 2019[64]"
Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14.0,4.0,150,"September 28, 2019[65]"
Huff Hills,Mandan,North Dakota,2150,1725,425,,21.0,3.0,40,"September 28, 2019[66]"
Bottineau Winter Park,Bottineau,North Dakota,2450,2270,180,40,8.0,6.0,13,"September 28, 2019[67]"
Elk Ridge,Williams,Arizona,8150,7500,650,37,10.0,2.0,150,"September 28, 2019[68]"
Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21.0,3.0,180,"February 27, 2021[69]"
Sunrise Park,Greer,Arizona,11100,9200,1900,800,65.0,9.0,250,"September 28, 2019[70]"
Sandia Peak,Albuquerque,New Mexico,10378,8678,1700,200,39.0,5.0,100,"September 28, 2019[71]"
Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55.0,8.0,185,"September 28, 2019[72]"
Sipapu,Taos,New Mexico,9225,8200,1055,200,41.0,6.0,190,"September 28, 2019[73]"
Red River,Red River,New Mexico,10350,8750,1600,209,64.0,7.0,214,"September 28, 2019[74]"
Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26.0,5.0,200,"September 28, 2019[75]"
Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54.0,3.0,250,"September 28, 2019[76]"
Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11.0,4.0,230,"September 28, 2019[77]"
Blizzard Mountain,Arco,Idaho,6305,5595,710,,,1.0,,"September 28, 2019"
Rotarun,Hailey,Idaho,5895,5420,475,,12.0,1.0,,"September 28, 2019[78]"
Chipmunk Hill,Challis,Idaho,,,,30,1.0,1.0,,"September 28, 2019"
Snowhaven,Grangeville,Idaho,5600,5200,400,40,9.0,2.0,60,"September 28, 2019[79]"
Tamarack,Boise,Idaho,7660,4900,2760,1100,45.0,6.0,300,"September 28, 2019[80]"
Cottonwood Butte,Cottonwood,Idaho,5730,4885,845,260,7.0,2.0,45,"September 28, 2019[81]"
Bald Mountain,Pierce,Idaho,4800,4000,800,140,16.0,2.0,100,"September 28, 2019[82]"
Silver Mountain,Coeur d'Alene,Idaho,6297,4100,2197,1600,67.0,8.0,300,"September 28, 2019[83]"
Mohawk Mountain,Cornwall,Connecticut,1600,960,640,107,25.0,8.0,24,"September 28, 2019[84]"
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19.0,7.0,60,"September 28, 2019[85]"
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16.0,5.0,45,"September 28, 2019[86]"
Mount Southington,Waterbury,Connecticut,525,100,425,51,14.0,7.0,80,"September 28, 2019[87]"
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14.0,3.0,39,"September 28, 2019[88]"
Frost Fire,Walhalla,North Dakota,1400,1070,330,,10.0,3.0,,"September 28, 2019[89]"
Hidden Valley,Wildwood,Missouri,860,540,320,65,17.0,9.0,19,"September 28, 2019[90]"
Snow Creek,Weston,Missouri,1099,799,300,25,12.0,5.0,20,"September 28, 2019[91]"
Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700,600,38,10.0,4.0,9,"September 28, 2019[92]"
Paoli Peaks,Paoili,Indiana,900,600,300,65,17.0,8.0,18,"September 28, 2019[93]"
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23.0,11.0,23,"September 28, 2019[94]"
Alpine Valley,Chesterland,Ohio,1500,1260,240,72,11.0,5.0,120,"September 28, 2019[95]"
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18.0,16.0,54,"September 28, 2019[96]"
Mad River,Bellafontaine,Ohio,1460,1160,300,144,23.0,12.0,36,"September 28, 2019[97]"
Snow Trails,Mansfield,Ohio,1475,1175,300,80,17.0,7.0,52,"September 28, 2019[98]"
Big Creek,Concord,Ohio,1466,1292,174,23,5.0,2.0,102,"September 28, 2019"
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34.0,12.0,100,"September 28, 2019[99]"
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12.0,5.0,45,"September 28, 2019[100]"
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46.0,9.0,65,"September 28, 2019[101]"
Cockaigne Resort,Cherry Creek,New York,2022,1592,430,100,11.0,3.0,175,
Big Rock,Presque Isle,Maine,1590,670,920,60,27.0,3.0,100,"September 29, 2019[102]"
Big Moose Mountain,Greenville,Maine,2920,1300,1620,1216,33.0,2.0,136,"October 26, 2024[103]"
Mount Jefferson,Lee,Maine,775,343,432,160,13.0,2.0,75,"September 29, 2019[104]"
New Hermon Mountain,Bangor,Maine,450,150,300,70,20.0,3.0,90,"September 29, 2019[105]"
Camden Snow Bowl,Camden,Maine,1080,235,845,100,17.0,3.0,50,"September 29, 2019[106]"
Powderhouse Hill,Portland,Maine,240,120,120,,3.0,1.0,,"September 29, 2019[107]"
Lost Valley,Lewiston,Maine,480,240,240,45,27.0,4.0,99,"September 29, 2019"
Pleasant Mountain,Bridgton,Maine,1900,600,1300,245,44.0,6.0,110,"September 29, 2019[108]"
Sunday River,Newry,Maine,3140,800,2340,870,153.0,18.0,155,"September 29, 2019[109]"
Ski Mount Abraham,Bethel,Maine,1990,940,1050,650,44.0,5.0,115,"September 29, 2019[110]"
Black Mountain of Maine,Rumford,Maine,2380,1000,1380,300,46.0,2.0,120,"September 29, 2019[111]"
Titcomb Mountain,Farmington,Maine,750,400,350,45,16.0,3.0,85,"September 29, 2019[112]"
Spruce Mountain Ski Slope,Jay,Maine,310,10,300,,12.0,3.0,,"September 29, 2019[113]"
Eaton Mountain,Waterville,Maine,840,220,620,130,18.0,2.0,72,"September 29, 2019[114]"
Baker Mountain,Bingham,Maine,,,460,,5.0,1.0,,"September 29, 2019"
Blandford Ski Area,Blandford,Massachusetts,1490,1025,465,55,29.0,5.0,70,"September 29, 2019[115]"
Berkshire East,Greenfield,Massachusetts,1720,540,1180,180,45.0,6.0,120,"September 29, 2019[116]"
Ski Butternut,Great Barrington,Massachusetts,1764,645,1119,110,22.0,10.0,115,"September 29, 2019[117]"
Jiminy Peak,Pittsfield,Massachusetts,2375,1125,1140,170,45.0,8.0,110,"September 29, 2019[118]"
Wachusett Mountain,Worcester,Massachusetts,2006,1006,1000,110,22.0,7.0,100,"September 29, 2019[119]"
Nashoba Valley,Boston,Massachusetts,422,182,240,59,17.0,9.0,55,"September 29, 2019[120]"
Blue Hills Ski Area,Boston,Massachusetts,635,326,309,60,8.0,4.0,,"September 29, 2019[121]"
Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300,400,55,11.0,5.0,70,"September 29, 2019[122]"
Ski Bradford,Haverhill,Massachusetts,272,24,248,48,15.0,10.0,,"September 29, 2019[123]"
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9.0,6.0,80,"September 29, 2019[124]"
Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068,750,200,23.0,5.0,83,"September 29, 2019[125]"
Chestnut Mountain,Galena,Illinois,1020,600,420,220,19.0,9.0,34,"September 29, 2019[126]"
Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14.0,6.0,38,"September 29, 2019[127]"
Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7.0,6.0,24,"September 29, 2019[128]"
Villa Olivia,Bartlett,Illinois,500,320,180,15,7.0,7.0,25,"September 29, 2019[129]"
Mount Crescent,Omaha,Iowa,1500,1200,300,50,11.0,2.0,30,"September 29, 2019[130]"
Seven Oaks,Boone,Iowa,975,800,175,35,11.0,4.0,40,"September 29, 2019[131]"
Sleepy Hollows Sports Park Archived 2019-09-29 at the Wayback Machine,Des Moines,Iowa,938,800,138,80,8.0,2.0,,"September 29, 2019[132]"
Sundown Mountain,Dubuque,Iowa,1059,584,475,55,21.0,6.0,45,"September 29, 2019[133]"
Bryce Resort,Basye,Virginia,1750,1250,500,25,8.0,7.0,30,"September 29, 2019[134]"
Massanutten Resort,Harrisonburg,Virginia,2925,1750,1110,70,13.0,7.0,35,"September 29, 2019[135]"
Homestead Resort,Hot Springs,Virginia,3200,2500,700,45,10.0,2.0,50,"September 29, 2019"
Canaan Valley Resort,Dryfork,West Virginia,4280,3430,850,91,39.0,4.0,150,"September 29, 2019[136]"
Winterplace,Ghent,West Virginia,3600,2997,603,90,28.0,9.0,100,"September 29, 2019[137]"
Oglebay Resort,Wheeling,West Virginia,,,168,,1.0,1.0,,"September 29, 2019[138]"
Cloudmont Resort,Mentone,Alabama,1800,1650,150,9,2.0,2.0,0,"September 29, 2019[139]"
Anthony Lakes,North Powder,Oregon,8000,7100,900,1100,21.0,3.0,300,"September 29, 2019[140]"
Cooper Spur,Hood River,Oregon,4350,4000,350,50,10.0,4.0,100,"September 29, 2019[141]"
Ferguson Ridge,Joseph,Oregon,5840,5200,640,170,8.0,2.0,300,"September 29, 2019[142]"
Hoodoo,Sisters,Oregon,5703,4668,1035,806,32.0,5.0,360,"September 29, 2019[143]"
Mount Hood Skibowl,Government Camp,Oregon,5027,3500,1527,960,65.0,9.0,300,"September 29, 2019[144]"
Spout Springs,Tollgate,Oregon,5450,4920,530,200,17.0,2.0,130,"September 29, 2019"
Timberline Summit Ski Area,Government Camp,Oregon,4306,4000,306,70,3.0,2.0,150,"September 29, 2019[145]"
